ateco,descrizione,cardinalita
63.11.20,"Gestione database (attivit delle banche dati)",5
26.51.29,"Fabbricazione di altri apparecchi di misura e regolazione, strumenti da disegno, di contatori di elettricit, gas, acqua ed altri liquidi, di bilance analitiche di precisione (incluse parti staccate ed accessori)",5
61.10.00,"Telecomunicazioni fisse",5
84.12.20,"Regolamentazione dell'attivit degli organismi preposti all'istruzione",5
95.11.00,"Riparazione e manutenzione di computer e periferiche",5
63.99.00,"Altre attivit dei servizi di informazione nca",5
71.11.00,"Attivit degli studi di architettura",5
28.29.99,"Fabbricazione di altro materiale meccanico e di altre macchine di impiego generale nca",5
71.12.30,"Attivit tecniche svolte da geometri",5
72.19.00,"Altre attività di ricerca e sviluppo sperimentale nel campo delle scienze naturali e dell ingegneria",5
85.42,"Istruzione universitaria e post-universitaria; accademie e conservatori",5
25.99.99,"Fabbricazione di altri articoli metallici e minuteria metallica nca",4
28.49.09,"Fabbricazione di altre macchine utensili (incluse parti e accessori) nca",4
43.22.01,"Installazione di impianti idraulici, di riscaldamento e di condizionamento dell'aria (inclusa manutenzione e riparazione) in edifici o in altre opere di costruzione",4
33.20.02,"Installazione di apparecchi elettrici ed elettronici per telecomunicazioni, di apparecchi trasmittenti radiotelevisivi, di impianti di apparecchiature elettriche ed elettroniche (esclusa l'installazione all'interno degli edifici)",4
63.11.19,"Altre elaborazioni elettroniche di dati",4
25.11,"Fabbricazione di strutture metalliche e di parti di strutture",4
25.62.00,"Lavori di meccanica generale",4
81.30.00,"Cura e manutenzione del paesaggio (inclusi parchi, giardini e aiuole)",4
32.12.10,"Fabbricazione di oggetti di gioielleria ed oreficeria in metalli preziosi o rivestiti di metalli preziosi",4
55.30.00,"Aree di campeggio e aree attrezzate per camper e roulotte",4
26.30.10,"Fabbricazione di apparecchi trasmittenti radiotelevisivi (incluse le telecamere)",4
71.20.10,"Collaudi e analisi tecniche di prodotti",4
14.13.10,"Confezione in serie di abbigliamento esterno",4
20.14.09,"Fabbricazione di altri prodotti chimici di base organici nca",4
86.90.21,Fisioterapia,4
33.12,"Riparazione e manutenzione di macchinari",4
26.12.00,"Fabbricazione di schede elettroniche assemblate",4
46.45.00,"Commercio all'ingrosso di profumi e cosmetici",4
28.22.09,"Fabbricazione di altre macchine e apparecchi di sollevamento e movimentazione",4
23.63.00,"Produzione di calcestruzzo pronto per l'uso",4
46.73.29,"Commercio all'ingrosso di altri materiali da costruzione",4
49.39.09,"Altre attivit di trasporti terrestri di passeggeri nca",4
08.12,"Estrazione di ghiaia e sabbia; estrazione di argille e caolino",4
85.59.20,"Corsi di formazione e corsi di aggiornamento professionale",4
26.11.01,"Fabbricazione di diodi, transistor e relativi congegni elettronici",3
71.1,"ATTIVIT DEGLI STUDI DI ARCHITETTURA, INGEGNERIA ED ALTRI STUDI TECNICI",3
58.29,"Edizione di altri software",3
64.92.09,"Altre attivit creditizie nca",3
17.22,"Fabbricazione di prodotti igienico-sanitari e per uso domestico in carta e ovatta di cellulosa",3
58.19.00,"Altre attivit editoriali",3
63.12.00,"Portali web",3
63.99,"Altre attivit dei servizi di informazione nca",3
28.12,"Fabbricazione di apparecchiature fluidodinamiche",3
10.85.09,"Produzione di pasti e piatti pronti di altri prodotti alimentari",3
82.91.10,"Attivit di agenzie di recupero crediti",3
21.20.09,"Fabbricazione di medicinali ed altri preparati farmaceutici",3
85.4,"ISTRUZIONE POST-SECONDARIA UNIVERSITARIA E NON UNIVERSITARIA",3
99.00.00,"Organizzazioni ed organismi extraterritoriali",3
86.10.20,"Ospedali e case di cura specialistici",3
52.29.22,"Servizi logistici relativi alla distribuzione delle merci",3
49.32.20,"Trasporto mediante noleggio di autovetture da rimessa con conducente",3
82.99,"Altri servizi di supporto alle imprese nca",3
28.99.20,"Fabbricazione di robot industriali per usi molteplici (incluse parti e accessori)",3
22.19.09,"Fabbricazione di altri prodotti in gomma nca",3
22.23.02,"Fabbricazione di porte, finestre, intelaiature eccetera in plastica per l'edilizia",2
10.61.40,"Altre lavorazioni di semi e granaglie",2
25.61.00,"Trattamento e rivestimento dei metalli",2
31.01.21,"Fabbricazione di altri mobili metallici per ufficio e negozi",2
25.9,"FABBRICAZIONE DI ALTRI PRODOTTI IN METALLO",2
26.12,"Fabbricazione di schede elettroniche assemblate",2
28.25.00,"Fabbricazione di attrezzature di uso non domestico per la refrigerazione e la ventilazione; fabbricazione di condizionatori domestici fissi",2
62.03.00,"Gestione di strutture e apparecchiature informatiche hardware - housing (esclusa la riparazione)",2
62.09,"Altre attivit dei servizi connessi alle tecnologie dell'informatica",2
16.29.19,"Fabbricazione di altri prodotti vari in legno (esclusi i mobili)",2
31.09.20,"Fabbricazione di sedie e sedili (esclusi quelli per aeromobili, autoveicoli, navi, treni, ufficio e negozi)",2
52.24.40,"Movimento merci relativo ad altri trasporti terrestri",2
46.31,"Commercio all'ingrosso di frutta e ortaggi freschi o conservati",2
22.22,"Fabbricazione di imballaggi in materie plastiche",2
31.09.30,"Fabbricazione di poltrone e divani",2
74.10.21,"Attivit dei disegnatori grafici di pagine web",2
22.22.00,"Fabbricazione di imballaggi in materie plastiche",2
69.20.12,"Servizi forniti da ragionieri e periti commerciali",2
28.14,"Fabbricazione di altri rubinetti e valvole",2
84.1,"AMMINISTRAZIONE PUBBLICA: AMMINISTRAZIONE GENERALE, ECONOMICA E SOCIALE",2
32.50.50,"Fabbricazione di armature per occhiali di qualsiasi tipo; montatura in serie di occhiali comuni",2
45.20.10,"Riparazioni meccaniche di autoveicoli",2
46.18.11,"Agenti e rappresentanti di carta e cartone (esclusi gli imballaggi); articoli di cartoleria e cancelleria",2
43.21.02,"Installazione di impianti elettronici (inclusa manutenzione e riparazione)",2
47.41.00,"Commercio al dettaglio di computer, unit periferiche, software e attrezzature per ufficio in esercizi specializzati",2
82.11.01,"Servizi integrati di supporto per le funzioni d'ufficio",2
46.42.40,"Commercio all'ingrosso di calzature e accessori",2
68.20.01,"Locazione immobiliare di beni propri o in leasing (affitto)",2
62.03,"Gestione di strutture informatizzate",2
26.2,"FABBRICAZIONE DI COMPUTER E UNIT PERIFERICHE",2
13.92.10,"Confezionamento di biancheria da letto, da tavola e per l'arredamento",2
88.10.00,"Assistenza sociale non residenziale per anziani e disabili",2
74.90.99,"Altre attivit professionali nca",2
47.71.10,"Commercio al dettaglio di confezioni per adulti",2
43.39.01,"Attivit non specializzate di lavori edili (muratori)",2
88.99.00,"Altre attivit di assistenza sociale non residenziale nca",2
93.29.20,"Gestione di stabilimenti balneari: marittimi, lacuali e fluviali",2
46.41.20,"Commercio all'ingrosso di articoli di merceria, filati e passamaneria",2
96.01.20,"Altre lavanderie, tintorie",2
73.11.02,"Conduzione di campagne di marketing e altri servizi pubblicitari",2
14.1,"CONFEZIONE DI ARTICOLI DI ABBIGLIAMENTO (ESCLUSO ABBIGLIAMENTO IN PELLICCIA)",2
43.21,"Installazione di impianti elettrici",2
16.22.00,"Fabbricazione di pavimenti in parquet assemblato",2
33.20.06,"Installazione di macchine per ufficio, di mainframe e computer simili",2
69.20.14,"Attivit svolta dai Centri di assistenza fiscale (Caf)",2
46.49.90,"Commercio all'ingrosso di vari prodotti di consumo non alimentare nca",2
47.78.31,"Commercio al dettaglio di oggetti d'arte (incluse le gallerie d'arte)",2
46.90.00,"Commercio all'ingrosso non specializzato",2
33.12.10,"Riparazione e manutenzione di macchine di impiego generale",2
46.69.99,"Commercio all'ingrosso di altre macchine ed attrezzature per l'industria, il commercio e la navigazione nca",2
69.20.13,"Servizi forniti da revisori contabili, periti, consulenti ed altri soggetti che svolgono attivit in materia di amministrazione, contabilit e tributi",2
46.51,"Commercio all'ingrosso di computer, apparecchiature informatiche periferiche e di software",2
16.10.00,"Taglio e piallatura del legno",2
43.22.03,"Installazione di impianti di spegnimento antincendio (inclusi quelli integrati e la manutenzione e riparazione)",2
01.11.40,"Coltivazioni miste di cereali, legumi da granella e semi oleosi",2
31.09.10,"Fabbricazione di mobili per arredo domestico",2
28.99.92,"Fabbricazione di giostre, altalene ed altre attrezzature per parchi di divertimento",2
20.30.00,"Fabbricazione di pitture, vernici e smalti, inchiostri da stampa e adesivi sintetici (mastici)",2
58.11.00,"Edizione di libri",2
46.48.00,"Commercio all'ingrosso di orologi e di gioielleria",2
62,"PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVIT CONNESSE",2
46.39.10,"Commercio all'ingrosso non specializzato di prodotti surgelati",2
65.20.00,"Attivit di riassicurazione",2
13.95.00,"Fabbricazione di tessuti non tessuti e di articoli in tali materie (esclusi gli articoli di abbigliamento)",2
33.15.00,"Riparazione e manutenzione di navi commerciali e imbarcazioni da diporto (esclusi i loro motori)",2
47.19.90,"Empori ed altri negozi non specializzati di vari prodotti non alimentari",2
27.12.00,"Fabbricazione di apparecchiature per le reti di distribuzione e il controllo dell'elettricit",2
47.64.10,"Commercio al dettaglio di articoli sportivi, biciclette e articoli per il tempo libero",2
26.7,"FABBRICAZIONE DI STRUMENTI OTTICI E ATTREZZATURE FOTOGRAFICHE",2
66.19.22,"Agenti, mediatori e procacciatori in prodotti finanziari",2
55.10.00,Alberghi,2
13.10.00,"Preparazione e filatura di fibre tessili",2
96.09.09,"Altre attivit di servizi per la persona nca",2
20.16.00,"Fabbricazione di materie plastiche in forme primarie",2
80.20.00,"Servizi connessi ai sistemi di vigilanza",2
28.22.02,"Fabbricazione di gru, argani, verricelli a mano e a motore, carrelli trasbordatori, carrelli elevatori e piattaforme girevoli",2
71.12.50,"Attivit di studio geologico e di prospezione geognostica e mineraria",2
65.1,ASSICURAZIONI,2
24.41.00,"Produzione di metalli preziosi e semilavorati",2
42.11.00,"Costruzione di strade, autostrade e piste aeroportuali",2
13.1,"PREPARAZIONE E FILATURA DI FIBRE TESSILI",2
29.20.00,"Fabbricazione di carrozzerie per autoveicoli, rimorchi e semirimorchi",2
33.12.99,"Riparazione e manutenzione di altre macchine per impieghi speciali nca (incluse le macchine utensili)",2
31.01.10,"Fabbricazione di sedie e poltrone per ufficio e negozi",2
17.23.09,"Fabbricazione di altri prodotti cartotecnici",2
56.10.11,"Ristorazione con somministrazione",2
20.59.60,"Fabbricazione di prodotti ausiliari per le industrie tessili e del cuoio",2
29.32.09,"Fabbricazione di altre parti ed accessori per autoveicoli e loro motori nca",2
74,"ALTRE ATTIVIT PROFESSIONALI, SCIENTIFICHE E TECNICHE",2
43,"LAVORI DI COSTRUZIONE SPECIALIZZATI",2
47.61.00,"Commercio al dettaglio di libri nuovi in esercizi specializzati",2
46.46.30,"Commercio all'ingrosso di articoli medicali ed ortopedici",2
47.52.10,"Commercio al dettaglio di ferramenta, vernici, vetro piano e materiale elettrico e termoidraulico",2
25.72.00,"Fabbricazione di serrature e cerniere e ferramenta simili",2
24.51.00,"Fusione di ghisa e produzione di tubi e raccordi in ghisa",2
82.3,"ORGANIZZAZIONE DI CONVEGNI E FIERE",2
30.12.00,"Costruzione di imbarcazioni da diporto e sportive",2
10.73.00,"Produzione di paste alimentari, di cuscus e di prodotti farinacei simili",2
10.41,"Produzione di oli e grassi",2
73.11.01,"Ideazione di campagne pubblicitarie",2
32.99.30,"Fabbricazione di oggetti di cancelleria",2
82.30.00,"Organizzazione di convegni e fiere",2
63.11.10,"Elaborazione dati",2
46.69.91,"Commercio all'ingrosso di strumenti e attrezzature di misurazione per uso scientifico",2
94,"ATTIVIT DI ORGANIZZAZIONI ASSOCIATIVE",2
10.89.09,"Produzione di altri prodotti alimentari nca",2
28.30.90,"Fabbricazione di altre macchine per l'agricoltura, la silvicoltura e la zootecnia",2
88.91.00,"Servizi di asili nido; assistenza diurna per minori disabili",2
47.52.40,"Commercio al dettaglio di macchine, attrezzature e prodotti per l'agricoltura; macchine e attrezzature per il giardinaggio",2
71.12.40,"Attivit di cartografia e aerofotogrammetria",2
59.11.00,"Attivit di produzione cinematografica, di video e di programmi televisivi",2
25.73.12,"Fabbricazione di parti intercambiabili per macchine utensili",2
13.96.20,"Fabbricazione di altri articoli tessili tecnici ed industriali",2
86.21.00,"Servizi degli studi medici di medicina generale",1
26.51.10,"Fabbricazione di strumenti per navigazione, idrologia, geofisica e meteorologia",1
55.20.51,"Affittacamere per brevi soggiorni, case ed appartamenti per vacanze, bed and breakfast, residence",1
52.29.21,"Intermediari dei trasporti",1
77.33.00,"Noleggio di macchine e attrezzature per ufficio (inclusi i computer)",1
43.12.00,"Preparazione del cantiere edile e sistemazione del terreno",1
69.20.30,"Attivit dei consulenti del lavoro",1
01.11.10,"Coltivazione di cereali (escluso il riso)",1
47.72.10,"Commercio al dettaglio di calzature e accessori",1
74.90.91,"Attivit tecniche svolte da periti industriali",1
49.41.00,"Trasporto di merci su strada",1
86.90.11,"Laboratori radiografici",1
72.11.00,"Ricerca e sviluppo sperimentale nel campo delle biotecnologie",1
94.99.20,"Attivit di organizzazioni che perseguono fini culturali, ricreativi e la coltivazione di hobby",1
35.13.00,"Distribuzione di energia elettrica",1
35.11.00,"Produzione di energia elettrica",1
72.2,"RICERCA E SVILUPPO SPERIMENTALE NEL CAMPO DELLE SCIENZE SOCIALI E UMANISTICHE",1
69.20.15,"Gestione ed amministrazione del personale per conto terzi",1
96.02.02,"Servizi degli istituti di bellezza",1
43.99.09,"Altre attivit di lavori specializzati di costruzione nca",1
56.30.00,"Bar e altri esercizi simili senza cucina",1
95.12.09,"Riparazione e manutenzione di altre apparecchiature per le comunicazioni",1
81.21.00,"Pulizia generale (non specializzata) di edifici",1
